State Name,City Name,Year,Month,Day of Week,Time of Day,Accident Severity,Number of Vehicles Involved,Vehicle Type Involved,Number of Casualties,Number of Fatalities,Weather Conditions,Road Type,Road Condition,Lighting Conditions,Traffic Control Presence,Speed Limit (km/h),Driver Age,Driver Gender,Driver License Status,Alcohol Involvement,Accident Location Details
Kerala,Unknown,2020,October,Monday,15:05,Minor,5,Two-Wheeler,7,0,Stormy,National Highway,Damaged,Dark,Police Checkpost,42,60,Female,Valid,No,Curve
Chandigarh,Unknown,2021,November,Monday,2:24,Serious,1,Truck,3,0,Rainy,State Highway,Under Construction,Dark,Signs,33,66,Male,Expired,No,Intersection
Arunachal Pradesh,Unknown,2023,October,Wednesday,15:35,Serious,3,Cycle,3,3,Rainy,Village Road,Wet,Dusk,Police Checkpost,112,37,Female,,No,Straight Road
Uttar Pradesh,Kolkata,2021,March,Friday,13:53,Serious,3,Car,7,2,Rainy,State Highway,Dry,Daylight,Police Checkpost,79,52,Male,Expired,Yes,Curve
Telangana,Kolkata,2021,March,Wednesday,21:37,Fatal,4,Cycle,6,5,Stormy,Village Road,Damaged,Dusk,,37,48,Male,Expired,No,Straight Road
Jammu and Kashmir,Unknown,2023,May,Friday,13:26,Fatal,4,Cycle,8,2,Stormy,Urban Road,Dry,Dawn,,110,30,Female,,No,Intersection
Gujarat,Unknown,2020,May,Monday,6:37,Serious,4,Car,3,2,Rainy,Village Road,Damaged,Daylight,Police Checkpost,89,51,Male,Valid,No,Curve
Jammu and Kashmir,Unknown,2023,November,Wednesday,1:25,Fatal,4,Cycle,9,4,Stormy,National Highway,Under Construction,Dawn,,97,48,Female,,No,Bridge
Chhattisgarh,Ahmedabad,2019,March,Friday,6:06,Serious,1,Truck,10,3,Stormy,State Highway,Damaged,Daylight,Police Checkpost,116,18,Female,,No,Straight Road
Nagaland,Unknown,2020,July,Thursday,16:11,Serious,5,Truck,4,4,Stormy,National Highway,Wet,Dark,,105,25,Male,Valid,No,Intersection
Delhi,Unknown,2019,March,Monday,3:44,Minor,5,Truck,5,5,Foggy,Urban Road,Damaged,Dawn,Police Checkpost,114,29,Male,Valid,Yes,Curve
Nagaland,Unknown,2020,November,Monday,14:18,Serious,5,Truck,10,2,Rainy,State Highway,Under Construction,Dusk,,118,33,Male,Valid,No,Bridge
Chandigarh,Unknown,2022,November,Monday,3:59,Serious,4,Auto-Rickshaw,1,3,Rainy,National Highway,Dry,Dark,Police Checkpost,85,34,Male,Valid,Yes,Curve
Puducherry,Unknown,2018,July,Wednesday,22:52,Serious,4,Bus,3,1,Rainy,National Highway,Under Construction,Dark,Police Checkpost,104,50,Female,,No,Straight Road
Haryana,Kanpur,2019,December,Tuesday,3:39,Serious,4,Bus,6,3,Rainy,Village Road,Damaged,Daylight,Signals,50,70,Female,Valid,Yes,Bridge
Jharkhand,Ahmedabad,2023,May,Wednesday,17:09,Serious,4,Truck,1,3,Rainy,State Highway,Wet,Dawn,Signs,33,39,Male,Valid,Yes,Straight Road
Kerala,Varanasi,2023,July,Saturday,5:02,Serious,1,Car,8,3,Stormy,State Highway,Under Construction,Dawn,Signs,106,58,Female,Expired,Yes,Curve
Chandigarh,Bangalore,2020,October,Saturday,0:48,Fatal,4,Truck,8,0,Rainy,Village Road,Dry,Daylight,Signals,96,34,Female,Expired,Yes,Intersection
Tripura,Mysore,2022,November,Sunday,0:53,Fatal,2,Cycle,0,0,Foggy,Village Road,Damaged,Daylight,Signs,106,55,Female,Valid,Yes,Straight Road
Tripura,Unknown,2020,October,Tuesday,17:49,Fatal,4,Car,0,3,Rainy,Village Road,Damaged,Daylight,Signs,88,65,Female,Valid,Yes,Intersection
Maharashtra,Unknown,2023,June,Friday,19:15,Minor,5,Car,7,1,Rainy,Village Road,Under Construction,Dawn,Police Checkpost,28,21,Male,Valid,Yes,Bridge
Nagaland,Unknown,2023,May,Sunday,10:37,Fatal,4,Car,5,2,Stormy,National Highway,Dry,Dusk,Signs,33,59,Female,,Yes,Bridge
Chhattisgarh,Unknown,2022,October,Friday,22:30,Fatal,5,Car,7,4,Foggy,Urban Road,Under Construction,Daylight,Police Checkpost,37,42,Male,Valid,No,Curve
Gujarat,Unknown,2019,November,Friday,2:36,Fatal,4,Car,7,4,Foggy,State Highway,Wet,Dawn,,46,19,Male,,No,Straight Road
Chhattisgarh,Unknown,2021,March,Wednesday,22:41,Fatal,1,Car,2,0,Hazy,Village Road,Wet,Dusk,Police Checkpost,121,30,Female,,No,Straight Road
Chandigarh,Unknown,2020,October,Friday,6:17,Minor,5,Car,9,4,Stormy,Urban Road,Under Construction,Daylight,Signs,87,47,Male,Valid,No,Bridge
Chandigarh,Unknown,2020,November,Monday,22:53,Serious,1,Cycle,3,0,Rainy,State Highway,Under Construction,Dusk,Signs,34,63,Male,Valid,Yes,Intersection
Chandigarh,Pune,2022,August,Friday,17:51,Minor,1,Truck,7,3,Foggy,Village Road,Under Construction,Daylight,Police Checkpost,42,49,Male,Valid,Yes,Straight Road
Meghalaya,Unknown,2022,October,Monday,16:17,Serious,4,Bus,9,4,Rainy,State Highway,Under Construction,Dawn,,56,70,Female,Expired,Yes,Bridge
Kerala,Kolkata,2023,July,Thursday,21:18,Serious,4,Truck,1,2,Hazy,Village Road,Under Construction,Dark,Signals,99,29,Female,Expired,Yes,Curve
Gujarat,Unknown,2023,December,Monday,15:42,Serious,5,Bus,6,0,Rainy,State Highway,Wet,Dawn,Police Checkpost,70,56,Male,,No,Straight Road
Bihar,Visakhapatnam,2019,October,Monday,22:47,Serious,3,Cycle,7,2,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,115,66,Female,,No,Straight Road
Madhya Pradesh,Unknown,2020,March,Friday,23:43,Serious,4,Truck,4,1,Rainy,Urban Road,Dry,Daylight,,102,45,Male,,No,Curve
Delhi,Unknown,2019,January,Friday,6:39,Serious,4,Two-Wheeler,9,0,Clear,State Highway,Dry,Daylight,Signs,107,68,Male,,Yes,Intersection
Kerala,Unknown,2018,November,Sunday,6:41,Fatal,4,Two-Wheeler,8,5,Clear,State Highway,Under Construction,Dark,Police Checkpost,99,43,Male,,Yes,Straight Road
Tamil Nadu,Kanpur,2022,November,Thursday,10:45,Fatal,3,Bus,2,4,Hazy,State Highway,Dry,Daylight,Signs,54,35,Female,Valid,No,Bridge
Haryana,Unknown,2022,April,Tuesday,16:58,Minor,5,Car,8,2,Rainy,State Highway,Under Construction,Dawn,Signs,74,35,Female,Valid,Yes,Curve
Nagaland,Kolkata,2021,March,Sunday,1:38,Minor,1,Bus,7,2,Clear,Urban Road,Under Construction,Dark,Signs,108,49,Male,Valid,No,Intersection
Karnataka,Varanasi,2020,November,Friday,6:53,Serious,2,Auto-Rickshaw,10,0,Stormy,State Highway,Wet,Daylight,Signals,65,49,Male,,Yes,Curve
Himachal Pradesh,Unknown,2019,November,Saturday,0:00,Serious,4,Truck,8,3,Hazy,State Highway,Damaged,Dark,Signs,35,28,Male,,Yes,Intersection
Uttar Pradesh,Unknown,2021,January,Sunday,14:47,Fatal,4,Car,3,2,Foggy,Village Road,Dry,Dusk,Signs,111,49,Male,Valid,No,Bridge
Odisha,Bangalore,2018,October,Sunday,3:32,Fatal,4,Truck,8,3,Stormy,State Highway,Damaged,Daylight,Signs,58,39,Male,Valid,No,Straight Road
Tamil Nadu,Mumbai,2022,October,Thursday,4:20,Fatal,2,Bus,4,3,Rainy,Urban Road,Dry,Daylight,Police Checkpost,46,38,Male,,No,Intersection
Gujarat,Unknown,2023,February,Friday,14:56,Fatal,3,Pedestrian,6,2,Rainy,Village Road,Under Construction,Dark,,123,40,Male,Expired,No,Bridge
Gujarat,Unknown,2019,August,Thursday,16:15,Serious,4,Car,10,0,Clear,Urban Road,Wet,Dark,,60,63,Female,Expired,No,Curve
Uttarakhand,Unknown,2020,June,Wednesday,21:57,Minor,4,Car,3,1,Stormy,National Highway,Under Construction,Daylight,Signs,97,52,Female,,Yes,Bridge
Maharashtra,Unknown,2022,January,Friday,14:59,Fatal,2,Cycle,7,0,Rainy,State Highway,Dry,Daylight,Signals,63,60,Male,Valid,Yes,Intersection
Meghalaya,Unknown,2023,March,Saturday,21:19,Serious,1,Cycle,7,3,Rainy,Urban Road,Wet,Daylight,Signals,63,30,Female,Valid,No,Intersection
Karnataka,Unknown,2020,November,Friday,22:54,Serious,4,Cycle,10,2,Clear,Village Road,Dry,Dusk,Police Checkpost,42,65,Male,Valid,No,Intersection
Haryana,Coimbatore,2021,November,Sunday,2:46,Serious,2,Cycle,3,5,Clear,State Highway,Wet,Dawn,Signals,101,58,Female,Expired,No,Curve
Sikkim,Unknown,2023,March,Thursday,18:51,Minor,5,Bus,0,2,Stormy,National Highway,Under Construction,Dusk,Signs,98,31,Male,Valid,Yes,Intersection
Uttar Pradesh,Unknown,2018,October,Friday,6:30,Fatal,4,Car,4,3,Clear,Village Road,Damaged,Dusk,Signals,101,33,Female,Valid,No,Straight Road
Rajasthan,Unknown,2021,February,Saturday,23:25,Serious,1,Auto-Rickshaw,4,3,Rainy,State Highway,Wet,Dusk,Signs,44,37,Female,,Yes,Bridge
Tamil Nadu,Unknown,2022,July,Thursday,5:29,Serious,5,Truck,2,1,Rainy,Village Road,Under Construction,Dark,Signs,116,23,Male,Valid,No,Intersection
West Bengal,Unknown,2021,April,Tuesday,9:58,Serious,2,Cycle,0,3,Foggy,Urban Road,Under Construction,Dawn,Police Checkpost,93,68,Male,Expired,No,Straight Road
West Bengal,Nagpur,2023,October,Saturday,7:10,Minor,4,Cycle,7,2,Hazy,National Highway,Under Construction,Dark,Police Checkpost,67,29,Female,Valid,Yes,Straight Road
Madhya Pradesh,Unknown,2023,January,Sunday,17:18,Fatal,4,Pedestrian,10,0,Rainy,National Highway,Under Construction,Daylight,,93,51,Female,Expired,Yes,Bridge
Odisha,Pune,2021,May,Saturday,15:16,Serious,5,Cycle,4,3,Rainy,State Highway,Under Construction,Dark,Signs,99,32,Female,,Yes,Straight Road
Jammu and Kashmir,Unknown,2019,December,Thursday,12:26,Minor,3,Truck,2,2,Rainy,State Highway,Damaged,Dark,Police Checkpost,123,38,Female,Valid,Yes,Curve
Maharashtra,Unknown,2021,November,Tuesday,8:06,Serious,5,Auto-Rickshaw,10,5,Stormy,Urban Road,Under Construction,Dusk,,53,31,Male,Expired,Yes,Bridge
Maharashtra,Vijayawada,2019,February,Tuesday,21:33,Minor,5,Cycle,1,2,Rainy,State Highway,Under Construction,Dark,Police Checkpost,58,34,Male,Expired,Yes,Curve
Mizoram,Bangalore,2020,June,Saturday,18:07,Serious,4,Truck,9,2,Rainy,State Highway,Under Construction,Dark,Signs,102,20,Male,Valid,Yes,Intersection
Uttarakhand,Unknown,2020,February,Friday,13:19,Serious,4,Auto-Rickshaw,-1,2,Clear,National Highway,Under Construction,Dark,Signals,100,66,Male,,Yes,Curve
Telangana,Durgapur,2020,December,Tuesday,14:28,Serious,3,Bus,7,2,Stormy,National Highway,Damaged,Dark,Signs,113,27,Female,,No,Straight Road
Haryana,Unknown,2022,October,Saturday,1:17,Minor,3,Cycle,11,2,Foggy,Village Road,Dry,Daylight,Signals,40,37,Male,,No,Intersection
Nagaland,Unknown,2020,January,Friday,4:38,Minor,3,Cycle,8,5,Rainy,National Highway,Damaged,Dusk,Police Checkpost,111,19,Male,,Yes,Intersection
Puducherry,Unknown,2019,November,Sunday,5:06,Fatal,4,Auto-Rickshaw,1,5,Hazy,National Highway,Under Construction,Dark,Police Checkpost,61,48,Male,Valid,Yes,Curve
Mizoram,Unknown,2021,August,Saturday,22:28,Fatal,1,Pedestrian,5,4,Rainy,State Highway,Dry,Dark,,33,57,Male,,No,Curve
Madhya Pradesh,Unknown,2020,July,Friday,6:52,Serious,5,Truck,2,3,Rainy,Village Road,Dry,Dusk,Police Checkpost,111,61,Female,,No,Intersection
Assam,Madurai,2019,November,Friday,14:19,Serious,5,Car,8,1,Hazy,National Highway,Damaged,Dark,,108,19,Female,Valid,Yes,Intersection
Karnataka,Unknown,2019,June,Saturday,7:21,Fatal,3,Cycle,2,3,Rainy,Urban Road,Dry,Dawn,Police Checkpost,53,40,Male,,Yes,Straight Road
West Bengal,Unknown,2018,June,Monday,15:39,Fatal,4,Truck,0,4,Rainy,Urban Road,Under Construction,Dark,Police Checkpost,93,31,Female,Expired,Yes,Straight Road
Mizoram,Unknown,2019,July,Friday,2:53,Fatal,5,Auto-Rickshaw,6,1,Stormy,Urban Road,Under Construction,Daylight,Police Checkpost,46,50,Female,Valid,Yes,Bridge
Rajasthan,Unknown,2021,July,Sunday,13:32,Serious,4,Cycle,8,2,Foggy,National Highway,Wet,Daylight,,98,32,Male,Valid,No,Intersection
Kerala,Unknown,2021,January,Sunday,14:47,Serious,5,Bus,8,5,Stormy,National Highway,Under Construction,Dawn,Signals,92,41,Male,,No,Bridge
Meghalaya,Unknown,2019,July,Sunday,9:47,Serious,1,Auto-Rickshaw,9,1,Clear,State Highway,Under Construction,Daylight,Police Checkpost,43,42,Female,Expired,Yes,Straight Road
Bihar,Jodhpur,2023,November,Wednesday,12:58,Minor,2,Bus,9,0,Rainy,National Highway,Wet,Daylight,Signals,74,26,Female,Valid,No,Curve
Madhya Pradesh,Unknown,2020,November,Sunday,8:06,Serious,4,Two-Wheeler,5,0,Rainy,State Highway,Damaged,Daylight,,59,59,Female,Valid,No,Intersection
West Bengal,Nagpur,2018,January,Thursday,0:24,Serious,5,Truck,4,3,Rainy,National Highway,Damaged,Dawn,Police Checkpost,115,26,Female,Valid,Yes,Curve
Uttar Pradesh,Unknown,2020,January,Wednesday,22:21,Fatal,5,Two-Wheeler,7,5,Rainy,National Highway,Under Construction,Dark,Signs,99,62,Female,Valid,Yes,Intersection
Meghalaya,Unknown,2022,October,Tuesday,8:14,Minor,2,Truck,1,2,Stormy,Village Road,Under Construction,Daylight,Police Checkpost,115,23,Female,Expired,No,Straight Road
Uttar Pradesh,Unknown,2019,February,Sunday,4:08,Serious,4,Car,6,4,Rainy,Village Road,Damaged,Dark,,77,40,Male,Valid,Yes,Bridge
Rajasthan,Unknown,2019,August,Wednesday,21:07,Serious,1,Truck,9,3,Stormy,State Highway,Damaged,Daylight,Signs,119,32,Female,,No,Straight Road
Mizoram,Unknown,2020,October,Friday,6:42,Serious,5,Bus,10,0,Rainy,Village Road,Under Construction,Daylight,Signals,124,53,Female,Expired,No,Curve
Arunachal Pradesh,Unknown,2023,January,Tuesday,17:55,Serious,1,Cycle,6,5,Rainy,State Highway,Damaged,Daylight,Signals,42,32,Female,Valid,Yes,Straight Road
West Bengal,Unknown,2020,February,Friday,12:00,Fatal,1,Pedestrian,3,4,Rainy,Village Road,Under Construction,Daylight,Signs,108,43,Male,Valid,Yes,Curve
Tamil Nadu,Dwarka,2019,February,Sunday,21:18,Fatal,4,Truck,3,3,Clear,Urban Road,Under Construction,Dark,Police Checkpost,78,53,Male,Valid,No,Intersection
Bihar,Durgapur,2023,November,Tuesday,12:29,Serious,4,Pedestrian,3,5,Hazy,State Highway,Damaged,Dawn,Signs,40,66,Male,Valid,No,Intersection
Sikkim,Unknown,2020,March,Thursday,19:42,Fatal,1,Car,7,2,Foggy,State Highway,Damaged,Dusk,Police Checkpost,88,37,Female,Expired,No,Curve
Tripura,Rohini,2018,March,Sunday,0:21,Serious,3,Cycle,1,0,Hazy,National Highway,Under Construction,Daylight,Signs,88,37,Female,,No,Intersection
Kerala,Unknown,2020,September,Friday,12:31,Fatal,4,Truck,10,5,Stormy,Urban Road,Under Construction,Dark,Signals,107,47,Male,Valid,Yes,Straight Road
West Bengal,Unknown,2020,May,Monday,18:12,Serious,5,Truck,6,3,Hazy,National Highway,Under Construction,Daylight,Signs,100,34,Female,Expired,Yes,Intersection
Nagaland,Nagpur,2023,March,Thursday,17:25,Minor,2,Car,7,0,Rainy,Urban Road,Wet,Daylight,Signs,59,66,Female,Valid,Yes,Curve
Jammu and Kashmir,Unknown,2020,November,Saturday,19:22,Fatal,4,Truck,5,3,Clear,State Highway,Under Construction,Dawn,,109,17,Male,Valid,Yes,Bridge
Kerala,Unknown,2020,March,Saturday,20:00,Serious,3,Bus,10,2,Rainy,State Highway,Under Construction,Dusk,Signs,75,38,Male,,Yes,Straight Road
Chhattisgarh,Udaipur,2020,October,Friday,9:29,Serious,1,Bus,3,3,Clear,Village Road,Damaged,Daylight,Police Checkpost,96,30,Male,Valid,No,Straight Road
Kerala,Unknown,2019,March,Monday,3:23,Serious,3,Cycle,6,0,Foggy,Village Road,Under Construction,Daylight,Signs,70,63,Male,,No,Curve
Telangana,Mumbai,2022,January,Tuesday,7:01,Serious,2,Car,1,2,Clear,Village Road,Dry,Dark,Signs,111,60,Male,Valid,No,Intersection
Chandigarh,Unknown,2022,December,Monday,2:02,Serious,2,Auto-Rickshaw,6,5,Stormy,National Highway,Wet,Daylight,Signs,67,45,Female,,No,Intersection
Meghalaya,Nagpur,2021,July,Sunday,2:14,Serious,1,Car,6,0,Foggy,State Highway,Under Construction,Dusk,Signals,61,58,Female,Expired,No,Intersection
Punjab,Unknown,2018,February,Friday,4:19,Minor,3,Cycle,1,2,Stormy,Village Road,Damaged,Dark,Signals,118,65,Male,,No,Bridge
Haryana,Unknown,2021,November,Saturday,14:58,Minor,2,Two-Wheeler,3,2,Rainy,State Highway,Under Construction,Dark,Signals,110,61,Male,Valid,No,Bridge
Punjab,Unknown,2020,December,Monday,13:33,Minor,5,Auto-Rickshaw,5,2,Hazy,National Highway,Under Construction,Dark,,118,41,Male,Expired,Yes,Straight Road
Telangana,Unknown,2019,November,Sunday,3:33,Serious,5,Two-Wheeler,3,2,Hazy,Village Road,Dry,Daylight,Police Checkpost,114,25,Male,,Yes,Intersection
Tripura,Unknown,2022,November,Friday,5:45,Fatal,1,Bus,9,2,Rainy,Village Road,Under Construction,Dusk,Signals,78,56,Male,,Yes,Intersection
Meghalaya,Unknown,2018,March,Thursday,0:28,Serious,2,Bus,0,0,Clear,State Highway,Dry,Daylight,Signs,126,55,Female,Valid,No,Straight Road
Bihar,Udaipur,2023,November,Friday,21:29,Minor,3,Truck,8,2,Stormy,Urban Road,Dry,Dawn,Police Checkpost,106,28,Male,,Yes,Curve
Kerala,Unknown,2021,May,Friday,23:56,Serious,4,Auto-Rickshaw,2,0,Stormy,National Highway,Under Construction,Dawn,Signals,116,61,Male,Expired,Yes,Intersection
Delhi,Unknown,2019,March,Tuesday,20:45,Serious,1,Bus,8,1,Hazy,National Highway,Wet,Dawn,Police Checkpost,114,67,Female,,Yes,Intersection
Tripura,Unknown,2019,January,Friday,11:48,Serious,5,Auto-Rickshaw,9,2,Clear,State Highway,Under Construction,Daylight,Police Checkpost,50,46,Female,,No,Curve
Nagaland,Unknown,2023,October,Friday,8:19,Fatal,2,Two-Wheeler,5,2,Stormy,State Highway,Wet,Daylight,Police Checkpost,108,64,Female,,Yes,Straight Road
Karnataka,Kanpur,2019,September,Saturday,8:21,Fatal,4,Auto-Rickshaw,6,2,Rainy,State Highway,Under Construction,Dusk,Police Checkpost,126,29,Male,,No,Straight Road
Haryana,Unknown,2019,March,Wednesday,9:39,Serious,3,Cycle,8,1,Clear,State Highway,Wet,Dawn,Signs,72,49,Female,,No,Intersection
Bihar,Jaipur,2021,January,Saturday,19:09,Fatal,4,Bus,4,3,Hazy,Urban Road,Damaged,Dusk,Police Checkpost,129,44,Male,Valid,Yes,Curve
Meghalaya,Unknown,2019,June,Thursday,21:28,Minor,5,Truck,4,0,Hazy,National Highway,Damaged,Dusk,Signs,54,45,Female,,No,Straight Road
Sikkim,Surat,2021,July,Wednesday,17:01,Serious,5,Car,8,5,Rainy,Village Road,Wet,Dark,Signals,127,34,Female,Valid,No,Straight Road
Kerala,Visakhapatnam,2020,July,Sunday,6:50,Serious,4,Bus,8,1,Hazy,State Highway,Under Construction,Daylight,Police Checkpost,46,44,Female,,No,Intersection
Tripura,Unknown,2020,October,Friday,20:31,Serious,5,Car,3,4,Rainy,Village Road,Under Construction,Dark,Signs,101,38,Female,Valid,No,Bridge
Delhi,Unknown,2020,October,Friday,21:14,Minor,5,Cycle,7,0,Clear,Village Road,Wet,Dark,Signs,100,61,Female,Expired,No,Intersection
West Bengal,Jodhpur,2020,January,Sunday,20:55,Serious,5,Auto-Rickshaw,7,2,Rainy,National Highway,Dry,Dusk,Signs,97,55,Female,Expired,Yes,Straight Road
Nagaland,Unknown,2022,March,Sunday,23:26,Minor,2,Pedestrian,1,3,Stormy,National Highway,Wet,Daylight,Police Checkpost,117,39,Female,,No,Intersection
Chandigarh,Unknown,2020,January,Sunday,2:53,Minor,4,Cycle,9,5,Clear,National Highway,Under Construction,Dark,,35,46,Male,Valid,Yes,Curve
Uttar Pradesh,Unknown,2022,June,Saturday,20:54,Fatal,5,Car,8,5,Clear,State Highway,Wet,Dark,Police Checkpost,98,34,Male,Expired,No,Curve
Uttar Pradesh,Unknown,2018,November,Friday,21:19,Fatal,5,Two-Wheeler,10,2,Rainy,Urban Road,Wet,Dark,Signals,75,61,Female,Expired,Yes,Curve
Rajasthan,Lucknow,2023,August,Friday,23:37,Serious,2,Car,0,1,Rainy,State Highway,Under Construction,Daylight,Signs,84,42,Female,,Yes,Straight Road
Himachal Pradesh,Rohini,2019,March,Friday,11:47,Serious,1,Cycle,6,1,Hazy,Village Road,Under Construction,Dark,Signals,87,60,Female,Expired,Yes,Curve
Gujarat,Varanasi,2020,June,Friday,12:08,Minor,4,Bus,6,2,Rainy,State Highway,Wet,Dawn,,39,37,Female,Valid,No,Straight Road
Tamil Nadu,Unknown,2022,November,Saturday,22:59,Serious,3,Car,6,2,Rainy,State Highway,Dry,Dark,Signals,107,48,Male,Valid,Yes,Intersection
West Bengal,Unknown,2023,February,Saturday,13:26,Serious,5,Auto-Rickshaw,3,3,Clear,National Highway,Under Construction,Dark,Police Checkpost,110,38,Male,Expired,Yes,Bridge
West Bengal,Chennai,2020,February,Monday,15:03,Serious,1,Bus,0,0,Stormy,State Highway,Under Construction,Dark,Police Checkpost,98,39,Female,Valid,Yes,Curve
Andhra Pradesh,Unknown,2020,November,Sunday,11:23,Serious,5,Truck,3,0,Rainy,State Highway,Dry,Daylight,Signs,96,53,Male,Valid,No,Bridge
Delhi,Unknown,2020,February,Sunday,0:17,Fatal,1,Truck,6,4,Stormy,National Highway,Under Construction,Daylight,Signs,69,53,Male,,Yes,Intersection
Gujarat,Unknown,2022,December,Sunday,9:07,Fatal,5,Truck,9,2,Rainy,State Highway,Under Construction,Daylight,,109,63,Male,,Yes,Bridge
Jharkhand,Unknown,2020,October,Sunday,11:21,Fatal,3,Truck,7,1,Hazy,State Highway,Under Construction,Dark,Police Checkpost,104,26,Male,,No,Straight Road
West Bengal,Visakhapatnam,2020,April,Friday,15:39,Minor,4,Truck,0,2,Clear,National Highway,Under Construction,Dark,,48,66,Male,,Yes,Curve
Chhattisgarh,Unknown,2021,February,Saturday,9:39,Minor,4,Car,10,5,Foggy,National Highway,Under Construction,Dark,Police Checkpost,71,33,Female,Expired,Yes,Bridge
Nagaland,Unknown,2022,December,Sunday,3:32,Serious,4,Two-Wheeler,6,0,Hazy,National Highway,Damaged,Daylight,Signs,52,36,Female,Expired,Yes,Straight Road
Tamil Nadu,Unknown,2020,June,Saturday,22:08,Fatal,5,Car,10,0,Clear,National Highway,Dry,Dusk,Police Checkpost,68,30,Male,Valid,No,Curve
Meghalaya,Udaipur,2023,October,Saturday,21:09,Minor,5,Auto-Rickshaw,2,5,Hazy,Village Road,Damaged,Dark,Signals,89,31,Female,,Yes,Curve
Punjab,Rohini,2020,February,Tuesday,5:04,Minor,2,Two-Wheeler,8,2,Hazy,State Highway,Under Construction,Dawn,Police Checkpost,39,54,Male,,Yes,Straight Road
Telangana,Varanasi,2020,July,Friday,21:48,Minor,5,Two-Wheeler,6,5,Stormy,Urban Road,Under Construction,Dark,,44,42,Male,,Yes,Bridge
Chandigarh,Unknown,2019,October,Tuesday,12:46,Minor,4,Truck,6,3,Rainy,Village Road,Under Construction,Daylight,Signs,49,36,Female,,Yes,Straight Road
Rajasthan,Unknown,2021,February,Sunday,1:16,Minor,5,Cycle,3,1,Stormy,National Highway,Wet,Daylight,Police Checkpost,100,44,Female,,No,Straight Road
Tripura,Unknown,2020,October,Friday,18:07,Serious,5,Truck,6,0,Rainy,State Highway,Wet,Dark,Signs,120,57,Female,,No,Straight Road
Bihar,Mysore,2022,May,Friday,10:30,Minor,4,Cycle,3,5,Clear,State Highway,Wet,Dawn,Signs,33,16,Male,,Yes,Curve
Nagaland,Unknown,2022,November,Friday,23:33,Fatal,2,Truck,6,5,Stormy,Village Road,Damaged,Dusk,Police Checkpost,106,62,Female,Valid,No,Bridge
Bihar,Unknown,2018,July,Monday,5:34,Fatal,3,Truck,8,2,Clear,National Highway,Dry,Dusk,Signals,67,44,Male,,Yes,Straight Road
Haryana,Unknown,2018,February,Friday,7:31,Minor,4,Pedestrian,7,3,Hazy,Urban Road,Damaged,Dusk,Signs,68,42,Female,Expired,Yes,Bridge
Uttar Pradesh,Kolkata,2022,February,Friday,22:32,Minor,4,Auto-Rickshaw,6,3,Rainy,National Highway,Wet,Dusk,Signs,73,65,Female,Expired,Yes,Bridge
Haryana,Kolkata,2020,January,Sunday,18:20,Fatal,1,Bus,8,5,Clear,Urban Road,Dry,Dusk,Signs,112,31,Male,,No,Curve
Bihar,Mumbai,2023,July,Friday,17:19,Serious,4,Truck,1,0,Clear,Village Road,Wet,Dark,Signals,104,45,Male,Valid,No,Intersection
Haryana,Kolkata,2018,March,Thursday,15:50,Minor,3,Auto-Rickshaw,7,2,Clear,Urban Road,Damaged,Dusk,Signs,50,41,Male,Valid,No,Bridge
Delhi,Unknown,2019,April,Friday,8:27,Serious,5,Truck,3,0,Clear,State Highway,Damaged,Daylight,Signs,117,37,Female,,No,Straight Road
Uttar Pradesh,Unknown,2023,February,Friday,18:22,Fatal,4,Auto-Rickshaw,0,0,Hazy,State Highway,Wet,Daylight,,87,39,Male,Expired,No,Curve
Uttar Pradesh,Ahmedabad,2020,October,Tuesday,20:59,Minor,3,Truck,1,0,Rainy,State Highway,Under Construction,Daylight,Police Checkpost,86,32,Female,Valid,Yes,Curve
Jammu and Kashmir,Lucknow,2020,August,Friday,23:22,Minor,3,Truck,5,4,Hazy,State Highway,Dry,Dawn,Police Checkpost,115,45,Female,,Yes,Straight Road
Kerala,Visakhapatnam,2019,December,Sunday,22:41,Serious,2,Cycle,5,2,Clear,Village Road,Under Construction,Dark,Signs,92,54,Female,Valid,No,Intersection
Sikkim,Mangalore,2019,July,Tuesday,9:09,Serious,5,Auto-Rickshaw,11,3,Clear,National Highway,Damaged,Dark,Signals,104,29,Male,Expired,Yes,Bridge
Meghalaya,Ahmedabad,2023,April,Tuesday,5:46,Serious,5,Truck,4,2,Clear,State Highway,Wet,Daylight,Signs,98,60,Female,,Yes,Intersection
Haryana,Unknown,2021,October,Sunday,5:04,Fatal,4,Pedestrian,8,2,Rainy,National Highway,Damaged,Daylight,Signs,121,61,Male,Expired,Yes,Intersection
Punjab,Unknown,2023,November,Tuesday,9:48,Serious,5,Auto-Rickshaw,1,2,Foggy,State Highway,Under Construction,Daylight,,42,57,Female,Expired,No,Intersection
Uttar Pradesh,Unknown,2018,October,Friday,22:20,Minor,3,Two-Wheeler,6,4,Stormy,State Highway,Dry,Daylight,Signs,109,49,Male,Valid,Yes,Bridge
West Bengal,Unknown,2018,May,Thursday,18:23,Serious,4,Cycle,11,5,Stormy,National Highway,Dry,Dawn,,51,55,Male,Valid,No,Curve
Uttarakhand,Unknown,2019,July,Saturday,10:28,Minor,5,Car,0,0,Stormy,Urban Road,Under Construction,Dark,Signals,111,27,Female,Valid,No,Curve
